YYYYMMDD,Holiday Name
20210101,New Years Day
20210215,Family Day Ontario from 2019
20210402,Good Friday
20210521,U of T Closure 1
20210524,Victoria Day (CA)
20210701,Canada Day
20210702,U of T Closure 2
20210802,August Civic Holiday (CA)
20210906,Labour Day (CA)
20211011,Thanksgiving Day - Monday
20211222,U of T Closure 3
20211223,U of T Closure 4
20211224,U of T Closure 5
20211225,Christmas Day
20211227,Boxing Day (CA)
20211228,U of T Closure 6
20211229,U of T Closure 7
20211230,U of T Closure 8
20211231,U of T Closure 9
20220101,New Years Day
20220221,Family Day Ontario from 2019
20220415,Good Friday
20220523,Victoria Day (CA)
20220630,U of T Closure 1
20220701,Canada Day
20220801,August Civic Holiday (CA)
20220905,Labour Day (CA)
20221010,Thanksgiving Day - Monday
20221221,U of T Closure 2
20221222,U of T Closure 3
20221223,U of T Closure 4
20221225,Christmas Day
20221226,Boxing Day (CA)
20221227,U of T Closure 5
20221228,U of T Closure 6
20221229,U of T Closure 7
20221230,U of T Closure 8
20221231,U of T Closure 9
20230101,New Years Day
20230220,Family Day Ontario from 2019
20230407,Good Friday
20230522,Victoria Day (CA)
20230630,U of T Closure 1
20230701,Canada Day
20230703,Canada Day
20230807,August Civic Holiday (CA)
20230904,Labour Day (CA)
20231009,Thanksgiving Day - Monday
20231221,U of T Closure 2
20231222,U of T Closure 3
20231225,Christmas Day
20231226,Boxing Day (CA)
20231227,U of T Closure 4
20231228,U of T Closure 5
20231229,U of T Closure 6
20240101,New Years Day
20240102,U of T Closure 1
20240219,Family Day Ontario from 2019
20240329,Good Friday
20240520,Victoria Day (CA)
20240628,U of T Closure 2
20240701,Canada Day
20240805,August Civic Holiday (CA)
20240902,Labour Day (CA)
20241014,Thanksgiving Day - Monday
20241224,U of T Closure 3
20241225,Christmas Day
20241226,Boxing Day (CA)
20241227,U of T Closure 4
20241230,U of T Closure 5
20241231,U of T Closure 6
20250101,New Years Day
20250102,U of T Closure 1
20250103,U of T Closure 2
20250217,Family Day Ontario from 2019
20250418,Good Friday
20250516,U of T Closure 3
20250519,Victoria Day (CA)
20250630,U of T Closure 4
20250701,Canada Day
20250801,U of T Closure 5
20250804,August Civic Holiday (CA)
20250901,Labour Day (CA)
20251013,Thanksgiving Day - Monday
20251224,U of T Closure 6
20251225,Christmas Day
20251226,Boxing Day (CA)
20251229,U of T Closure 7
20251230,U of T Closure 8
20251231,U of T Closure 9
20260101,New Years Day
20260102,U of T Closure 1
20260216,Family Day Ontario from 2019
20260403,Good Friday
20260515,U of T Closure 2
20260518,Victoria Day (CA)
20260629,U of T Closure 3
20260630,U of T Closure 4
20260701,Canada Day
20260803,August Civic Holiday (CA)
20260907,Labour Day (CA)
20261012,Thanksgiving Day - Monday
20261224,U of T Closure 5
20261225,Christmas Day
20261226,Boxing Day (CA)
20261228,U of T Closure 6
20261229,U of T Closure 7
20261230,U of T Closure 8
20261231,U of T Closure 9
20270101,New Years Day
20270104,U of T Closure 1
20270105,U of T Closure 2
20270215,Family Day Ontario from 2019
20270326,Good Friday
20270524,Victoria Day (CA)
20270701,Canada Day
20270802,August Civic Holiday (CA)
20270906,Labour Day (CA)
20271011,Thanksgiving Day - Monday
20271225,Christmas Day
20271226,Boxing Day (CA)
20280101,New Years Day
20280221,Family Day Ontario from 2019
20280414,Good Friday
20280522,Victoria Day (CA)
20280701,Canada Day
20280703,Canada Day
20280807,August Civic Holiday (CA)
20280904,Labour Day (CA)
20281009,Thanksgiving Day - Monday
20281225,Christmas Day
20290101,New Years Day
20290219,Family Day Ontario from 2019
20290330,Good Friday
20290521,Victoria Day (CA)
20290701,Canada Day
20290702,Canada Day
20290806,August Civic Holiday (CA)
20290903,Labour Day (CA)
20291008,Thanksgiving Day - Monday
20291225,Christmas Day
20300101,New Years Day
20300218,Family Day Ontario from 2019
20300419,Good Friday
20300520,Victoria Day (CA)
20300701,Canada Day
20300805,August Civic Holiday (CA)
20300902,Labour Day (CA)
20301014,Thanksgiving Day - Monday
20301225,Christmas Day
20310101,New Years Day
20310217,Family Day Ontario from 2019
20310411,Good Friday
20310519,Victoria Day (CA)
20310701,Canada Day
20310804,August Civic Holiday (CA)
20310901,Labour Day (CA)
20311013,Thanksgiving Day - Monday
20311225,Christmas Day
